Unit_CustID;Unit_Cat;Unit_Vendor;Unit_Model;Unit_Serial;Unit_type;Unit_installdate;Unit_Warend;Unit_Chargemode;Unit_Repldate;Unit_Notes;Unit_History;Unit_ID
COOP10;HS;QP;HEADSET PRO7;Q01542803;HS;2017-02-22;2019-02-21;5;1900-01-01;;0;248075;
COOP10;HS;QP;HEADSET PRO7;Q01542808;HS;2017-02-22;2019-02-21;5;1900-01-01;;0;248076;
COOP10;HS;QP;HEADSET PRO7;Q01542825;HS;2017-02-22;2019-02-21;5;1900-01-01;;0;248077;
COOP10;HS;QP;HEADSET PRO7;Q01540637;HS;2017-02-13;2019-02-12;5;1900-01-01;;0;248078;
COOP10;HS;QP;HEADSET PRO7;Q01540638;HS;2017-02-13;2019-02-12;5;1900-01-01;;0;248079;
COOP10;HS;QP;HEADSET PRO7;Q01540639;HS;2017-02-13;2019-02-12;5;1900-01-01;;0;248080;
COOP10;HS;QP;HEADSET PRO7;Q01540640;HS;2017-02-13;2019-02-12;5;1900-01-01;;0;248081;
COOP10;HS;QP;HEADSET PRO7;Q01540648;HS;2017-02-13;2019-02-12;5;1900-01-01;;0;248082;
COOP11;HS;QP;BASSTATION PRO7;Q401920089;BS;2017-03-24;2018-03-23;2;1900-01-01;;0;250120;
COOP11;HS;QP;HEADSET PRO7;Q01610137;HS;2017-10-17;2019-10-16;5;1900-01-01;;0;248036;
COOP11;HS;QP;HEADSET PRO7;Q01608609;HS;2017-10-17;2019-10-16;5;1900-01-01;;0;248037;
COOP11;HS;QP;BASSTATION PRO7;Q40555241;BS;2017-03-31;2019-03-30;5;1900-01-01;;0;248061;
COOP11;HS;QP;HEADSET PRO7;Q01607362;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248062;
COOP11;HS;QP;HEADSET PRO7;Q01607363;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248063;
COOP11;HS;QP;HEADSET PRO7;Q01607364;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248064;
COOP11;HS;QP;HEADSET PRO7;Q01607365;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248065;
COOP11;HS;QP;HEADSET PRO7;Q01607366;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248066;
COOP11;HS;QP;HEADSET PRO7;Q01607367;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248067;
COOP11;HS;QP;HEADSET PRO7;Q01520983;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248068;
COOP11;HS;QP;HEADSET PRO7;Q01540638;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248069;
COOP11;HS;QP;CHARGER PRO7;Q20000933;HS;2017-03-31;2019-03-30;5;1900-01-01;;0;248070;
COOP12;HS;QP;HEADSET PRO7;Q41763343;HS;2018-06-05;2020-06-04;5;1900-01-01;;0;248756;
COOP12;HS;QP;HEADSET PRO7;Q41763324;HS;2018-06-05;2020-06-04;5;1900-01-01;;0;248757;
COOP12;HS;QP;HEADSET PRO7;Q41745741;HS;2018-06-05;2020-06-04;5;1900-01-01;;0;248758;
COOP12;HS;QP;HEADSET PRO7;Q41763325;HS;2018-06-05;2020-06-04;5;1900-01-01;;0;248759;
COOP12;HS;QP;HEADSET PRO7;Q41833197;HS;2019-03-23;2021-03-22;5;1900-01-01;;0;249468;
COOP12;HS;QP;HEADSET PRO7;Q1833196;HS;2019-03-23;2021-03-22;5;1900-01-01;;0;249469;
COOP12;HS;QP;HEADSET PRO7;Q01608612;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248044;
COOP12;HS;QP;HEADSET PRO7;Q01608614;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248045;
COOP12;HS;QP;HEADSET PRO7;Q01608613;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248046;
COOP12;HS;QP;HEADSET PRO7;Q01608605;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248047;
COOP12;HS;QP;HEADSET PRO7;Q01608610;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248048;
COOP12;HS;QP;HEADSET PRO7;Q01608615;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248049;
COOP12;HS;QP;HEADSET PRO7;Q01608606;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248050;
COOP12;HS;QP;HEADSET PRO7;Q01608611;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248051;
COOP12;HS;QP;HEADSET PRO7;Q01608599;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248052;
COOP12;HS;QP;HEADSET PRO7;Q01608604;HS;2017-05-16;2019-05-15;5;1900-01-01;;0;248053;
COOP12;HS;QP;BASSTATION PRO7;Q40555671;BS;2017-05-16;2018-05-15;2;1900-01-01;;0;248054;
COOP12;HS;QP;BASSTATION PRO7;Q40555659;BS;2017-05-16;2018-05-15;2;1900-01-01;;0;248055;
COOP12;COM;QD;KEYPAD 12 BUTT;Q09640155;KP;2017-05-16;2018-05-15;2;1900-01-01;;0;248056;
COOP12;COM;QD;KEYPAD 12 BUTT;Q09640118;KP;2017-05-16;2018-05-15;2;1900-01-01;;0;248057;
COOP12;COM;QD;KEYPAD 12 BUTT;Q09640159;KP;2017-05-16;2018-05-15;2;1900-01-01;;0;248058;
COOP12;COM;QD;KEYPAD 12 BUTT;Q09640160;KP;2017-05-16;2018-05-15;2;1900-01-01;;0;248059;
COOP12;COM;QD;KEYPAD 12 BUTT;Q09640175;KP;2017-05-16;2018-05-15;2;1900-01-01;;0;248060;
COOP13;HS;QP;BASSTATION PRO7;Q040556260;BS;2017-06-14;2018-06-13;2;1900-01-01;;0;247688;
COOP13;HS;QP;BASSTATION PRO7;Q040556266;BS;2017-06-14;2018-06-13;2;1900-01-01;;0;247689;
COOP13;HS;QP;BASSTATION PRO7;Q040556256;BS;2017-06-14;2018-06-13;2;1900-01-01;;0;247690;
COOP13;HS;QP;CHARGER PRO7;Q20002593;HS;2017-06-14;2018-06-13;2;1900-01-01;;0;247691;
COOP13;HS;QP;HEADSET PRO7;Q01610147;HS;2017-06-14;2019-06-13;5;1900-01-01;;0;247692;
COOP13;HS;QP;HEADSET PRO7;Q01610148;HS;2017-06-14;2019-06-13;5;1900-01-01;;0;247693;
COOP13;HS;QP;HEADSET PRO7;Q01610145;HS;2017-06-14;2019-06-13;5;1900-01-01;;0;247694;
COOP13;HS;QP;HEADSET PRO7;Q01610144;HS;2017-06-14;2019-06-13;5;1900-01-01;;0;247695;
COOP13;HS;QP;HEADSET PRO7;Q01610146;HS;2017-06-14;2019-06-13;5;1900-01-01;;0;247696;
COOP13;HS;QP;HEADSET PRO7;Q16108603;HS;2017-06-14;2019-06-13;5;1900-01-01;;0;247697;
COOP13;HS;QP;HEADSET PRO7;Q01608607;HS;2017-06-14;2019-06-13;5;1900-01-01;;0;247698;
COOP13;HS;QP;HEADSET PRO7;Q41741823;HS;2017-09-27;2019-09-26;5;1900-01-01;;0;248038;
COOP13;HS;QP;HEADSET PRO7;Q41741824;HS;2017-09-27;2019-09-26;5;1900-01-01;;0;248039;
